iter	Passed	Remaining
644	3255	1791
645	3260	1786
646	3266	1781
647	3273	1778
648	3277	1772
649	3283	1768
650	3291	1764
651	3303	1763
652	3310	1759
653	3317	1755
654	3323	1750
655	3328	1745
656	3333	1740
657	3338	1735
658	3343	1730
659	3350	1725
660	3356	1721
661	3363	1717
662	3368	1712
663	3374	1707
664	3379	1702
665	3384	1697
666	3388	1691
667	3396	1688
668	3401	1682
669	3406	1677
670	3411	1672
671	3416	1667
672	3424	1663
673	3432	1660
674	3439	1655
675	3444	1650
676	3459	1650
677	3465	1646
678	3470	1640
679	3476	1636
680	3481	1630
681	3488	1626
682	3494	1621
683	3500	1617
684	3507	1612
685	3515	1609
686	3523	1605
687	3531	1601
688	3537	1596
689	3547	1593
690	3561	1592
691	3568	1588
692	3576	1584
693	3582	1579
694	3600	1580
695	3607	1575
696	3614	1571
697	3620	1566
698	3627	1561
699	3632	1556
700	3637	1551
701	3643	1546
702	3648	1541
703	3655	1536
704	3663	1532
705	3668	1527
706	3674	1522
707	3679	1517
708	3684	1512
709	3689	1507
710	3695	1502
711	3700	1496
712	3704	1491
713	3708	1485
714	3713	1480
715	3718	1474
716	3723	1469
717	3728	1464
718	3732	1458
719	3738	1453
720	3743	1448
721	3749	1443
722	3753	1438
723	3757	1432
724	3761	1426
725	3765	1421
726	3772	1416
727	3776	1410
728	3780	1405
729	3785	1399
730	3789	1394
731	3796	1389
732	3801	1384
733	3806	1379
734	3812	1374
735	3816	1369
736	3821	1363
737	3827	1358
738	3831	1353
739	3835	1347
740	3842	1342
741	3846	1337
742	3852	1332
743	3856	1327
744	3861	1321
745	3865	1316
746	3870	1310
747	3875	1305
748	3880	1300
749	3884	1294
750	3889	1289
751	3894	1284
752	3899	1279
753	3904	1273
754	3910	1268
755	3914	1263
756	3919	1258
757	3924	1252
758	3930	1247
759	3934	1242
760	3939	1237
761	3943	1231
762	3948	1226
763	3952	1221
764	3957	1215
765	3961	1210
766	3965	1204
767	3970	1199
768	3975	1194
769	3979	1188
770	3983	1183
771	3987	1177
772	3991	1172
773	3995	1166
774	3999	1161
775	4003	1155
776	4008	1150
777	4012	1144
778	4016	1139
779	4021	1134
780	4026	1128
781	4030	1123
782	4036	1118
783	4039	1113
784	4044	1107
785	4048	1102
786	4053	1096
787	4058	1091
788	4062	1086
789	4066	1080
790	4070	1075
791	4075	1070
792	4080	1065
793	4084	1059
794	4089	1054
795	4093	1049
796	4097	1043
797	4101	1038
798	4105	1032
799	4110	1027
800	4114	1022
801	4118	1016
802	4122	1011
803	4129	1006
804	4134	1001
805	4139	996
806	4144	991
807	4148	985
808	4152	980
809	4156	975
810	4161	969
811	4167	964
812	4173	959
813	4179	954
814	4183	949
815	4188	944
816	4193	939
817	4197	934
818	4202	928
819	4206	923
820	4210	918
821	4215	912
822	4219	907
823	4223	902
824	4227	896
825	4231	891
826	4236	886
827	4242	881
828	4247	876
829	4253	871
830	4258	866
831	4263	860
832	4267	855
833	4272	850
834	4277	845
835	4282	840
836	4286	834
837	4290	829
838	4296	824
839	4301	819
840	4305	814
841	4310	808
842	4314	803
843	4318	798
844	4322	792
845	4327	787
846	4331	782
847	4336	777
848	4340	771
849	4344	766
850	4349	761
851	4353	756
852	4358	751
853	4362	745
854	4375	741
855	4386	737
856	4395	733
857	4405	729
858	4412	724
859	4423	720
860	4429	715
861	4434	710
862	4440	704
863	4445	699
864	4450	694
865	4455	689
866	4463	684
867	4474	680
868	4479	675
869	4485	670
870	4494	665
871	4500	660
872	4506	655
873	4513	650
874	4518	645
875	4522	640
876	4527	634
877	4531	629
878	4535	624
879	4541	619
880	4546	614
881	4550	608
882	4555	603
883	4559	598
884	4563	593
885	4569	587
886	4573	582
887	4577	577
888	4582	572
889	4588	567
890	4592	561
891	4597	556
892	4601	551
893	4606	546
894	4611	541
